id;municipio
1;Aguadulce
2;Alanís
3;Albaida del Aljarafe
4;Alcalá de Guadaíra
5;Alcalá del Río
6;Alcolea del Río
7;Algaba, La
8;Algámitas
9;Almadén de la Plata
10;Almensilla
11;Arahal
12;Aznalcázar
13;Aznalcóllar
14;Badolatosa
15;Benacazón
16;Bollullos de la Mitación
17;Bormujos
18;Brenes
19;Burguillos
20;Cabezas de San Juan, Las
21;Camas
22;Campana, La
23;Cantillana
24;Cañada Rosal
25;Carmona
26;Carrión de los Céspedes
27;Casariche
28;Castilblanco de los Arroyos
29;Castilleja de Guzmán
30;Castilleja de la Cuesta
31;Castilleja del Campo
32;Castillo de las Guardas, El
33;Cazalla de la Sierra
34;Constantina
35;Coria del Río
36;Coripe
37;Coronil, El
38;Corrales, Los
39;Cuervo de Sevilla, El
40;Dos Hermanas
41;Écija
42;Espartinas
43;Estepa
44;Fuentes de Andalucía
45;Garrobo, El
46;Gelves
47;Gerena
48;Gilena
49;Gines
50;Guadalcanal
51;Guillena
52;Herrera
53;Huévar del Aljarafe
54;Isla Mayor
55;Lantejuela
56;Lebrija
57;Lora de Estepa
58;Lora del Río
59;Luisiana, La
60;Madroño, El
61;Mairena del Alcor
62;Mairena del Aljarafe
63;Marchena
64;Marinaleda
65;Martín de la Jara
66;Molares, Los
67;Montellano
68;Morón de la Frontera
69;Navas de la Concepción, Las
70;Olivares
71;Osuna
72;Palacios y Villafranca, Los
73;Palmar de Troya, El
74;Palomares del Río
75;Paradas
76;Pedrera
77;Pedroso, El
78;Peñaflor
79;Pilas
80;Pruna
81;Puebla de Cazalla, La
82;Puebla de los Infantes, La
83;Puebla del Río, La
84;Real de la Jara, El
85;Rinconada, La
86;Roda de Andalucía, La
87;Ronquillo, El
88;Rubio, El
89;Salteras
90;San Juan de Aznalfarache
91;San Nicolás del Puerto
92;Sanlúcar la Mayor
93;Santiponce
94;Saucejo, El
95;Sevilla
96;Tocina
97;Tomares
98;Umbrete
99;Utrera
100;Valencina de la Concepción
101;Villamanrique de la Condesa
102;Villanueva de San Juan
103;Villanueva del Ariscal
104;Villanueva del Río y Minas
105;Villaverde del Río
106;Viso del Alcor, El
